company_name,address,city,state,zip,phone,website,domain,description,employees_wa,revenue_2025,year_founded,exec1_first,exec1_last,exec1_title,exec2_first,exec2_last,exec2_title,footnotes,source,source_date,ownership_type
Nordstrom Inc.,1617 Sixth Ave.,Seattle,Washington,98101,206-628-2111,nordstrom.com,nordstrom.com,Fashion retailer,7000,15800000000,1901,Erik,Nordstrom,Co-CEO,Pete,Nordstrom,Co-CEO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Saltchuk Resources,450 Alaskan Way S.,Seattle,Washington,98104,206-652-1111,saltchuk.com,saltchuk.com,Transportation and distribution company,1150,5600000000,1982,Mark,Tabbutt,Chairman,Jerry,Richards,CFO,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Zones LLC,1102 15th St. SW,Auburn,Washington,98001,253-205-3000,zones.com,zones.com,Information technology solutions provider,800,2400000000,1986,Firoz,Lalji,Chairman and Co-founder,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Harbor Foods,3901 Hogum Bay Road NE,Lacey,Washington,98516,800-624-3614,harborfoods.com,harborfoods.com,Wholesale food distributor,642,1571879900,1923,Justin,Erickson,Owner and CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Denali Advanced Integration,17735 NE 65th St.,Redmond,Washington,98052,425-885-4000,denaliai.com,denaliai.com,Enterprise IT solutions and services provider,592,1100000000,1992,Alex (Mohamad),Daher,Chairman and Co-founder,Erez,Yarkoni,President,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Keller Supply Co.,3209 17th Ave. W.,Seattle,Washington,98119,206-285-3300,kellersupply.com,kellersupply.com,"Plumbing, heating, piping, fire protection and pool supplies distributor",,720000000,1945,Nick,Keller,Executive Chairman,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Titus-Will Automotive Group,3606 S. Sprague Ave.,Tacoma,Washington,98409,253-475-4151,tituswillcars.com,tituswillcars.com,Automotive dealerships,550,563000000,1938,James M.,Will,CEO,,,,"Business name: As a motor vehicle dealership, the company revenue is the same as the pass-through value of the vehicle assets it holds and then sells.",PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Bensussen Deutsch & Associates (BDA Inc.),15525 Woodinville-Redmond Road NE,Woodinville,Washington,98072,800-451-4764,bdainc.com,bdainc.com,Merchandise agency creating branding solutions,298,551774000,1984,Jay,Deutsch,CEO,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Merrill Gardens,1938 Fairview Ave. E.,Seattle,Washington,98102,206-676-5300,merrillgardens.com,merrillgardens.com,Independent and assisted living and memory care service provider,700,525140614,1993,Cole,Wright,Chairman,Tana,Gall,President,Business name: Owned by R.D. Merrill Co.,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
Columbia Hospitality,2200 Alaskan Way,Seattle,Washington,98121,206-239-1800,columbiahospitality.com,columbiahospitality.com,Hospitality management and consulting company,3026,500000000,1995,John,Oppenheimer,Founder,,,,,PSBJ Family-Owned 2026,2026-03-20,Family-Owned
